id,nutrient_nbr,rank,name_with_unit
1185,430.0,8800.0,Vitamin K (phylloquinone) (UG)
1186,431.0,7000.0,Folic acid (UG)
1187,432.0,7100.0,"Folate, food (UG)"
1188,433.0,999999.0,5-methyl tetrahydrofolate (5-MTHF) (UG)
1189,434.0,999999.0,"Folate, not 5-MTHF (UG)"
1190,435.0,7200.0,"Folate, DFE (UG)"
1191,436.0,999999.0,10-Formyl folic acid (10HCOFA) (UG)
1192,437.0,999999.0,5-Formyltetrahydrofolic acid (5-HCOH4 (UG)
1193,438.0,999999.0,Tetrahydrofolic acid (THF) (UG)
1194,450.0,7230.0,"Choline, free (MG)"
1195,451.0,7240.0,"Choline, from phosphocholine (MG)"
1196,452.0,7250.0,"Choline, from phosphotidyl choline (MG)"
1197,453.0,7260.0,"Choline, from glycerophosphocholine (MG)"
1198,454.0,7290.0,Betaine (MG)
1199,455.0,7270.0,"Choline, from sphingomyelin (MG)"
1200,460.0,999999.0,p-Hydroxy benzoic acid (MG)
1201,461.0,999999.0,Caffeic acid (MG)
1202,462.0,999999.0,p-Coumaric acid (MG)
1203,463.0,999999.0,Ellagic acid (MG)
1204,464.0,999999.0,Ferrulic acid (MG)
1205,465.0,999999.0,Gentisic acid (MG)
1206,466.0,999999.0,Tyrosol (MG)
1207,467.0,999999.0,Vanillic acid (MG)
1208,469.0,999999.0,"Phenolic acids, total (MG)"
1209,470.0,999999.0,"Polyphenols, total (MG)"
1210,501.0,16300.0,Tryptophan (G)
1211,502.0,16400.0,Threonine (G)
1212,503.0,16500.0,Isoleucine (G)
1213,504.0,16600.0,Leucine (G)
1214,505.0,16700.0,Lysine (G)
1215,506.0,16800.0,Methionine (G)
1216,507.0,16900.0,Cystine (G)
1217,508.0,17000.0,Phenylalanine (G)
1218,509.0,17100.0,Tyrosine (G)
1219,510.0,17200.0,Valine (G)
1220,511.0,17300.0,Arginine (G)
1221,512.0,17400.0,Histidine (G)
1222,513.0,17500.0,Alanine (G)
1223,514.0,17600.0,Aspartic acid (G)
1224,515.0,17700.0,Glutamic acid (G)
1225,516.0,17800.0,Glycine (G)
1226,517.0,17900.0,Proline (G)
1227,518.0,18000.0,Serine (G)
1228,521.0,18100.0,Hydroxyproline (G)
1229,522.0,999999.0,Cysteine and methionine(sulfer containig AA) (G)
1230,523.0,16950.0,Phenylalanine and tyrosine (aromatic  AA) (G)
1231,525.0,999999.0,Asparagine (G)
1232,526.0,18150.0,Cysteine (G)
1233,528.0,999999.0,Glutamine (G)
1234,529.0,999999.0,Taurine (G)
1235,539.0,1540.0,"Sugars, added (G)"
1236,549.0,1520.0,"Sugars, intrinsic (G)"
1237,551.0,5340.0,"Calcium, added (MG)"
1238,553.0,5440.0,"Iron, added (MG)"
1239,561.0,5320.0,"Calcium, intrinsic (MG)"
1240,563.0,5420.0,"Iron, intrinsic (MG)"
1241,571.0,6340.0,"Vitamin C, added (MG)"
1242,573.0,7920.0,"Vitamin E, added (MG)"
1243,574.0,6440.0,"Thiamin, added (MG)"
1244,575.0,6540.0,"Riboflavin, added (MG)"
1245,576.0,6640.0,"Niacin, added (MG)"
1246,578.0,7340.0,"Vitamin B-12, added (UG)"
1247,581.0,6320.0,"Vitamin C, intrinsic (MG)"
1248,583.0,7930.0,"Vitamin E, intrinsic (MG)"
1249,584.0,6420.0,"Thiamin, intrinsic (MG)"
1250,585.0,6520.0,"Riboflavin, intrinsic (MG)"
1251,586.0,6620.0,"Niacin, intrinsic (MG)"
1252,588.0,7320.0,"Vitamin B-12, intrinsic (UG)"
1253,601.0,15700.0,Cholesterol (MG)
1254,602.0,999999.0,Glycerides (G)
1255,603.0,999999.0,Phospholipids (G)
1256,604.0,999999.0,Glycolipids (G)
1257,605.0,15400.0,"Fatty acids, total trans (G)"
1258,606.0,9700.0,"Fatty acids, total saturated (G)"
1259,607.0,9800.0,SFA 4:0 (G)
1260,608.0,9900.0,SFA 6:0 (G)
1261,609.0,10000.0,SFA 8:0 (G)
1262,610.0,10100.0,SFA 10:0 (G)
1263,611.0,10300.0,SFA 12:0 (G)
1264,612.0,10500.0,SFA 14:0 (G)
1265,613.0,10700.0,SFA 16:0 (G)
1266,614.0,10900.0,SFA 18:0 (G)
1267,615.0,11100.0,SFA 20:0 (G)
1268,617.0,12100.0,MUFA 18:1 (G)
1269,618.0,13100.0,PUFA 18:2 (G)
1270,619.0,13900.0,PUFA 18:3 (G)
